COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
LLUB,N,0.0,CHEVRON,2022-02-28,114.5,109.0,111.25,114.5,570,219728.0,24401968.75
LLUB,N,0.0,CHEVRON,2022-03-02,113.0,108.0,108.5,113.0,497,303971.0,33366352.0
LLUB,N,0.0,CHEVRON,2022-03-03,110.0,106.0,107.0,110.0,262,164532.0,17740737.0
LLUB,N,0.0,CHEVRON,2022-03-04,107.5,102.75,104.0,107.5,696,261370.0,27365124.25
LLUB,N,0.0,CHEVRON,2022-03-07,109.5,99.6,100.25,106.0,994,418669.0,42496732.65
LLUB,N,0.0,CHEVRON,2022-03-08,103.0,98.5,99.1,100.25,412,185291.0,18510962.4
LLUB,N,0.0,CHEVRON,2022-03-09,99.1,93.9,95.0,99.0,518,130536.0,12547891.5
LLUB,N,0.0,CHEVRON,2022-03-10,100.75,94.0,98.9,95.0,321,103898.0,10136700.5
LLUB,N,0.0,CHEVRON,2022-03-11,98.0,95.0,95.2,98.0,393,124092.0,11872509.7
LLUB,N,0.0,CHEVRON,2022-03-14,96.9,93.9,95.0,95.0,222,90087.0,8544408.7
LLUB,N,0.0,CHEVRON,2022-03-15,100.0,94.0,94.8,95.0,186,123528.0,11789218.1
LLUB,N,0.0,CHEVRON,2022-03-16,95.8,91.9,92.2,95.8,233,55127.0,5099850.0
LLUB,N,0.0,CHEVRON,2022-03-18,95.0,91.8,92.2,95.0,253,102092.0,9467814.5
LLUB,N,0.0,CHEVRON,2022-03-21,94.3,91.9,93.1,92.0,168,69520.0,6438148.5
LLUB,N,0.0,CHEVRON,2022-03-22,97.9,93.9,94.5,93.9,134,37724.0,3607181.9
LLUB,N,0.0,CHEVRON,2022-03-23,96.0,93.9,94.3,95.0,157,51233.0,4848959.3
LLUB,N,0.0,CHEVRON,2022-03-24,98.0,93.9,97.6,94.7,159,764703.0,74364696.3
LLUB,N,0.0,CHEVRON,2022-03-25,97.6,95.0,95.5,96.5,115,42720.0,4107919.0
LLUB,N,0.0,CHEVRON,2022-03-28,98.5,93.5,94.7,98.5,194,64480.0,6137777.9
LLUB,N,0.0,CHEVRON,2022-03-29,94.0,89.8,90.1,94.0,311,74094.0,6734566.1
LLUB,N,0.0,CHEVRON,2022-03-30,90.0,82.0,86.3,89.5,419,2734506.0,244895721.8
LLUB,N,0.0,CHEVRON,2022-03-31,90.0,86.0,87.1,87.9,138,68636.0,5996871.5
LLUB,N,0.0,CHEVRON,2024-01-02,92.5,90.3,91.9,90.9,49,29961.0,2742168.2
LLUB,N,0.0,CHEVRON,2024-01-03,94.2,92.0,93.8,92.0,167,833524.0,78148080.7
LLUB,N,0.0,CHEVRON,2024-01-04,94.2,93.2,93.9,94.0,58,19275.0,1811354.0
