COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
CCS,N,0.0,COLD STORES,2024-05-03,65.8,63.4,65.5,63.4,449,2437251.0,158323674.6
CCS,N,0.0,COLD STORES,2024-05-06,67.5,65.7,66.0,65.9,296,873151.0,57840672.2
CCS,N,0.0,COLD STORES,2024-05-07,66.5,64.6,65.1,65.1,148,374435.0,24750255.6
CCS,N,0.0,COLD STORES,2024-05-08,65.9,64.6,65.1,65.0,108,341813.0,22220292.3
CCS,N,0.0,COLD STORES,2024-05-09,65.5,64.5,65.5,65.0,129,548212.0,35579761.9
CCS,N,0.0,COLD STORES,2024-05-10,65.5,64.4,64.6,65.5,112,89895.0,5812774.4
CCS,N,0.0,COLD STORES,2024-05-13,65.5,63.5,63.9,64.9,47,35013.0,2245682.3
CCS,N,0.0,COLD STORES,2024-05-14,64.0,60.2,62.2,64.0,149,330573.0,20468287.1
CCS,N,0.0,COLD STORES,2024-05-15,64.0,60.1,61.0,64.0,81,63260.0,3915354.1
CCS,N,0.0,COLD STORES,2024-05-16,63.0,60.5,61.4,61.5,51,13226.0,807197.2
CCS,N,0.0,COLD STORES,2024-05-17,62.7,60.8,62.4,61.5,38,47990.0,2973054.2
CCS,N,0.0,COLD STORES,2024-05-20,62.8,59.0,60.5,62.8,147,341917.0,20662210.7
CCS,N,0.0,COLD STORES,2024-05-21,62.7,60.2,62.0,61.5,57,57463.0,3508613.4
CCS,N,0.0,COLD STORES,2024-05-22,62.6,61.1,62.1,61.1,46,50969.0,3166682.8
CCS,N,0.0,COLD STORES,2024-05-27,62.6,61.0,61.9,61.0,44,211413.0,13072134.6
CCS,N,0.0,COLD STORES,2024-05-28,61.5,61.0,61.4,61.5,22,6155.0,377694.0
CCS,N,0.0,COLD STORES,2024-05-29,62.0,61.0,61.0,61.0,39,97343.0,5997487.5
CCS,N,0.0,COLD STORES,2024-05-30,63.0,60.8,62.8,61.9,93,553370.0,34090882.7
CCS,N,0.0,COLD STORES,2024-05-31,63.0,62.0,63.0,63.0,55,400001.0,25190429.2
