COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
COMB,N,0.0,COMMERCIAL BANK,2021-02-24,86.0,84.6,85.0,85.0,395,4249491.0,361281574.0
COMB,N,0.0,COMMERCIAL BANK,2021-02-25,91.0,87.7,88.8,88.8,471,835848.0,74383240.1
COMB,N,0.0,COMMERCIAL BANK,2021-03-01,90.5,88.0,88.3,88.3,277,559179.0,49718825.6
COMB,N,0.0,COMMERCIAL BANK,2021-03-02,88.3,86.5,86.8,86.8,246,133727.0,11647749.4
COMB,N,0.0,COMMERCIAL BANK,2021-03-03,87.0,85.4,85.8,85.8,282,211342.0,18174474.9
COMB,N,0.0,COMMERCIAL BANK,2021-03-04,86.2,84.2,84.5,84.5,277,1424863.0,120574988.8
COMB,N,0.0,COMMERCIAL BANK,2021-03-05,85.5,83.0,84.9,84.9,298,354402.0,29936880.7
COMB,N,0.0,COMMERCIAL BANK,2021-03-08,87.0,84.8,86.2,86.2,280,515719.0,44049828.5
COMB,N,0.0,COMMERCIAL BANK,2021-03-09,89.9,87.0,88.1,88.1,180,102705.0,9063027.7
COMB,N,0.0,COMMERCIAL BANK,2021-03-10,88.9,85.7,86.1,86.1,187,150700.0,13029653.1
COMB,N,0.0,COMMERCIAL BANK,2021-03-12,88.0,86.0,86.9,86.9,106,254266.0,22178171.2
COMB,N,0.0,COMMERCIAL BANK,2021-03-15,90.0,87.0,87.7,87.7,122,245291.0,21982302.6
COMB,N,0.0,COMMERCIAL BANK,2021-03-16,87.9,86.3,87.2,87.2,92,51020.0,4444584.8
COMB,N,0.0,COMMERCIAL BANK,2021-03-17,87.5,85.1,86.0,86.0,141,94193.0,8145432.5
COMB,N,0.0,COMMERCIAL BANK,2021-03-18,86.8,85.0,85.8,85.8,168,453918.0,38657653.3
COMB,N,0.0,COMMERCIAL BANK,2021-03-19,86.7,85.1,86.5,86.5,124,91288.0,7834779.0
COMB,N,0.0,COMMERCIAL BANK,2021-03-22,86.9,86.0,86.4,86.4,134,80914.0,7000401.1
COMB,N,0.0,COMMERCIAL BANK,2021-03-23,87.7,85.7,87.2,87.2,95,36693.0,3171321.5
COMB,N,0.0,COMMERCIAL BANK,2021-03-24,90.0,87.0,89.6,89.6,158,165842.0,14743793.0
COMB,N,0.0,COMMERCIAL BANK,2021-03-25,89.9,88.0,89.1,89.1,131,53513.0,4767019.0
