COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,PRICE HIGH (Rs.),PRICE LOW (Rs.),CLOSE PRICE (Rs.),OPEN PRICE (Rs.),TRADE VOLUME (No.),SHARE VOLUME (No.),TURNOVER (Rs.)
JKH,N,0.0,JKH,2024-10-07,190.0,18.5,189.0,186.5,496,646006.0,121203279.25
JKH,N,0.0,JKH,2024-10-08,196.0,186.0,193.75,190.75,495,589711.0,113233117.5
JKH,N,0.0,JKH,2024-10-09,199.0,195.0,198.25,195.0,720,2305435.0,457560216.25
JKH,N,0.0,JKH,2024-10-10,199.0,195.25,197.5,198.75,396,1682273.0,332782244.0
JKH,N,0.0,JKH,2024-10-11,198.0,196.0,197.0,198.0,284,1659398.0,326719208.0
JKH,N,0.0,JKH,2024-10-14,198.0,197.0,197.0,197.25,320,1067045.0,210769324.5
JKH,N,0.0,JKH,2024-10-15,198.5,196.0,196.5,197.5,467,1634079.0,323363064.0
JKH,N,0.0,JKH,2024-10-16,197.0,195.5,195.75,196.5,234,544380.0,106589888.75
JKH,N,0.0,JKH,2024-10-18,197.5,195.75,197.0,196.0,278,184469.0,36327099.75
JKH,N,0.0,JKH,2024-10-21,197.5,196.0,197.25,196.0,285,404240.0,79613815.75
JKH,N,0.0,JKH,2024-10-22,200.0,197.0,199.0,198.0,1208,3411981.0,676005583.75
JKH,N,0.0,JKH,2024-10-23,203.5,197.0,203.0,199.5,1406,2280165.0,449660618.25
JKH,N,0.0,JKH,2024-10-24,211.0,202.75,209.5,203.5,1842,2962220.0,612363880.5
JKH,N,0.0,JKH,2024-10-25,216.0,210.75,214.0,210.75,1924,2063914.0,442000309.5
JKH,N,0.0,JKH,2024-10-28,216.75,210.25,212.5,215.0,1589,1279143.0,271994560.75
JKH,N,0.0,JKH,2024-11-06,21.9,20.6,21.2,21.5,4110,57791392.0,1224827249.5
JKH,N,0.0,JKH,2024-11-07,21.9,21.4,21.5,21.4,2091,24499227.0,528986930.0
JKH,N,0.0,JKH,2024-11-08,21.6,21.1,21.2,21.6,1264,5870648.0,125047013.4
JKH,N,0.0,JKH,2024-11-11,21.2,20.9,20.9,21.2,1169,7702034.0,161468258.3
JKH,N,0.0,JKH,2024-11-12,21.4,20.9,21.4,21.0,635,5347420.0,113759631.9
JKH,N,0.0,JKH,2024-11-13,21.7,21.3,21.6,21.4,1084,12579170.0,270560994.0
JKH,N,0.0,JKH,2024-11-14,21.7,21.4,21.5,21.7,842,6800338.0,146507048.1
JKH,N,0.0,JKH,2024-11-18,21.9,21.4,21.2,21.7,1537,39102909.0,834814003.8
JKH,N,0.0,JKH,2024-11-19,21.2,20.4,20.5,21.2,2747,149556929.0,3078371051.8
JKH,N,0.0,JKH,2024-11-20,21.0,20.5,20.7,20.9,1040,25495249.0,523850681.6
JKH,N,0.0,JKH,2024-11-21,20.6,19.8,20.0,20.6,2456,29424918.0,591314353.0
JKH,N,0.0,JKH,2024-11-22,20.0,19.8,19.9,19.9,913,5885177.0,117498142.7
JKH,N,0.0,JKH,2024-11-25,19.9,19.8,19.2,19.9,2323,16926087.0,326398573.3
JKH,N,0.0,JKH,2024-11-26,20.0,19.1,19.8,19.1,794,5511501.0,108533917.2
JKH,N,0.0,JKH,2024-11-27,20.0,19.6,19.9,19.8,488,3276977.0,64952242.0
JKH,N,0.0,JKH,2024-11-28,20.3,19.8,20.0,19.9,823,20392126.0,408305670.3
JKH,N,0.0,JKH,2024-11-29,20.1,19.7,19.7,20.0,841,14591186.0,291063149.3
JKH,N,0.0,JKH,2024-12-02,19.9,19.6,19.8,19.7,532,3927502.0,77648214.1
JKH,N,0.0,JKH,2024-12-03,20.0,19.8,19.9,19.9,444,3832565.0,76289911.0
JKH,N,0.0,JKH,2024-12-04,20.7,19.9,20.6,20.0,750,11096838.0,226991194.6
JKH,N,0.0,JKH,2024-12-05,21.0,20.7,20.8,20.8,818,9817348.0,204627671.8
JKH,N,0.0,JKH,2024-12-06,21.0,20.7,20.7,20.8,605,11415648.0,238010885.4
JKH,N,0.0,JKH,2024-12-09,20.9,20.7,20.8,20.8,548,9046921.0,188208744.6
JKH,N,0.0,JKH,2024-12-10,21.2,20.7,21.0,20.9,814,11420467.0,239168838.4
JKH,N,0.0,JKH,2024-12-11,21.2,20.9,21.1,21.1,746,49090524.0,1035706442.1
JKH,N,0.0,JKH,2024-12-12,21.5,21.0,21.4,21.1,1031,45675329.0,972836146.3
